Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
reputation,8,2098,37342151,30144,0,1264,131809,16,1923
reputation,0,28,37594513,27410,2,727,911930,16,2700
reputation,0,28,31672052,27410,0,727,911930,16,2700
reputation,0,28,31874655,27410,0,727,911930,16,2700
reputation,0,28,32033132,27410,0,727,911930,18,2700
reputation,0,28,37752896,27410,1,727,911930,10,2700
reputation,0,28,35772062,27410,0,727,911930,18,2700
reputation,1,28,37612206,27410,0,727,911930,18,2700
reputation,0,28,37751754,27410,0,727,911930,4,2700
reputation,0,28,35319247,27410,1,727,911930,19,2700
reputation,1,28,32587718,27410,0,727,911930,16,2700
reputation,0,28,34228412,27410,0,727,911930,19,2700
reputation,2,11,22179082,34006,0,1262,683553,14,1640
reputation,0,11,31927733,34006,0,1262,683553,12,1640
reputation,0,11,37471953,34006,0,1262,683553,19,1640
reputation,0,11,30404261,34006,0,1262,683553,15,1640
reputation,3,11,32661087,34006,-1,1262,683553,19,1640
reputation,1,78,31305236,26819,0,894,1033686,19,1724
reputation,1,78,37416747,26819,0,894,1033686,16,1724
reputation,0,121,37557754,32089,0,1355,138578,13,4762
reputation,0,121,37570473,32089,0,1355,138578,5,4762
reputation,0,20,7273810,12889,0,695,400790,18,610
reputation,0,20,34416336,12889,1,695,400790,19,610
reputation,0,100,31383988,31303,0,1142,153422,12,2885
reputation,0,273,36547904,33337,0,943,253468,18,2891
reputation,5,242,28725286,39423,0,2998,199700,17,6794
reputation,1,242,29592171,39423,1,2998,199700,16,6794
reputation,2,2,8444298,14969,0,504,516629,13,697
reputation,1,50,35550853,34643,1,593,5975,10,2076
reputation,2,14,21925923,11985,0,826,1678468,18,454
reputation,2,461,37642104,187688,4,3899,324584,18,27257
reputation,2,7,36131376,31110,0,401,478144,18,2954
reputation,0,7,36845567,31110,0,401,478144,14,2954
reputation,0,46,35257135,18845,1,523,340819,10,828
reputation,0,46,34048849,18845,1,523,340819,18,828
reputation,0,54,34311835,25234,0,455,188414,15,1460
reputation,0,1189,37208635,23259,0,3125,487813,12,2940
reputation,1,97,25306834,29043,1,625,898289,12,1786
reputation,0,44,33986822,21503,0,564,98422,16,1740
reputation,0,64,37705301,26073,0,6737,730807,5,3088
reputation,1,10,31927569,52647,0,117,32484,19,3139
reputation,0,50,36691114,27417,1,971,436028,19,2815
reputation,2,437,37699630,36326,0,1600,3049628,10,4245
reputation,2,8,37331001,33369,0,2050,296446,17,1609
reputation,0,449,36053989,39904,0,4829,1011724,15,4149
reputation,0,26,33011717,11425,0,2805,27756,11,4847
reputation,0,26,37730040,11425,0,2805,27756,18,4847
reputation,1,26,35314969,11425,0,2805,27756,9,4847
reputation,0,26,26670652,11425,1,2805,27756,18,4847
reputation,0,26,35172793,11425,0,2805,27756,15,4847
reputation,0,26,37588791,11425,0,2805,27756,6,4847
reputation,0,26,37111914,11425,0,2805,27756,13,4847
reputation,0,26,24905100,11425,0,2805,27756,19,4847
reputation,0,1940,34789185,26569,0,1138,477127,17,3273
reputation,1,80,36517808,17916,1,421,87739,16,1046
reputation,0,46,37379076,12638,0,1689,276193,17,778
reputation,0,22,37213268,20898,0,3528,2120261,15,917
reputation,0,730,35397328,79076,0,2571,102441,17,6176
reputation,2,730,35566927,79076,0,2571,102441,13,6176
reputation,0,730,36923309,79076,0,2571,102441,14,6176
reputation,0,730,35873641,79076,1,2571,102441,19,6176
reputation,0,16,35012155,35728,0,647,274,18,1930
reputation,2,42,34201030,11201,0,491,234451,18,1117
reputation,0,9,37478667,12721,0,147,882993,10,500
reputation,0,16,22798025,15680,0,474,1606323,15,692
reputation,1,16,33804893,15680,1,474,1606323,16,692
reputation,1,16,36496134,15680,0,474,1606323,19,692
reputation,0,16,37654098,15680,1,474,1606323,14,692
reputation,0,16,35480645,15680,0,474,1606323,16,692
reputation,2,53,34769995,22546,0,455,11755,14,2372
reputation,0,53,35864852,22546,-1,455,11755,18,2372
reputation,0,53,37701416,22546,0,455,11755,18,2372
reputation,1,53,37717428,22546,0,455,11755,16,2372
reputation,0,53,37304406,22546,0,455,11755,10,2372
reputation,0,53,35853378,22546,1,455,11755,17,2372
reputation,0,53,32668104,22546,0,455,11755,13,2372
reputation,0,53,36576270,22546,0,455,11755,18,2372
reputation,1,53,35379672,22546,0,455,11755,15,2372
reputation,0,53,18732925,22546,0,455,11755,14,2372
reputation,3,53,37597066,22546,0,455,11755,16,2372
reputation,0,53,37676475,22546,1,455,11755,14,2372
reputation,1,53,35486262,22546,-1,455,11755,15,2372
reputation,0,21,35066362,14345,0,1881,132208,19,690
reputation,2,940,33551590,71341,-1,2823,561309,16,4379
reputation,1,940,36288255,71341,0,2823,561309,13,4379
reputation,0,32,31974416,11727,0,245,1127699,19,1721
reputation,0,208,36444623,13891,0,614,220005,17,1482
reputation,6,201,32411162,13352,0,1548,261682,19,2076
reputation,0,201,32416581,13352,0,1548,261682,19,2076
reputation,1,1480,33375247,96868,0,2385,14357,12,8583
reputation,0,67,31558581,10507,0,1262,125663,15,1627
reputation,0,9,35770346,13834,0,1623,6486,14,997
reputation,0,9,4238213,13834,1,1623,6486,17,997
reputation,0,41,35951360,15731,1,359,119790,18,862
reputation,1,235,36464291,26890,2,649,458742,17,1575
reputation,2,235,36756356,26890,0,649,458742,15,1575
reputation,0,235,36390323,26890,0,649,458742,14,1575
reputation,4,235,36912477,26890,1,649,458742,17,1575
reputation,0,235,36878229,26890,0,649,458742,4,1575
reputation,4,235,34257742,26890,0,649,458742,18,1575
reputation,3,235,36848453,26890,0,649,458742,14,1575
reputation,2,235,36608659,26890,2,649,458742,19,1575
reputation,0,519,18674135,16616,0,872,933633,19,1145
reputation,0,8,30352098,12838,0,1247,693349,17,831
reputation,0,8,25443750,12838,0,1247,693349,13,831
reputation,2,2,30482433,11495,0,40,126280,19,983
reputation,2,2,26022165,11495,0,40,126280,16,983
reputation,1,2,37462148,11495,0,40,126280,13,983
reputation,0,21,35000836,11195,0,2014,1150311,12,858
reputation,0,21,36114490,17784,0,142,48886,19,1254
reputation,0,55,37658824,29477,0,4511,97614,14,2307
reputation,1,55,37299878,29477,1,4511,97614,13,2307
reputation,0,8,34450774,32400,1,2069,18706,17,2164
reputation,0,8,31229302,32400,1,2069,18706,17,2164
reputation,0,283,37746794,16763,0,1425,39643,10,1393
reputation,0,283,37597279,16763,0,1425,39643,13,1393
reputation,2,10,31398511,12209,0,192,222151,19,953
reputation,7,10,36917146,12209,1,192,222151,16,953
reputation,2,10,35992080,12209,0,192,222151,14,953
reputation,0,10,21540590,12209,0,192,222151,15,953
reputation,0,10,31543057,12209,0,192,222151,7,953
reputation,1,10,22184397,12209,0,192,222151,19,953
reputation,0,80,34630953,26041,0,1797,319618,17,2531
reputation,3,80,37054007,26041,0,1797,319618,16,2531
reputation,0,80,37302289,26041,0,1797,319618,8,2531
reputation,0,80,37437499,26041,0,1797,319618,11,2531
reputation,0,962,33335353,26919,0,6113,495796,7,5170
reputation,0,962,34311118,26919,0,6113,495796,14,5170
reputation,0,962,37008273,26919,0,6113,495796,8,5170
reputation,0,962,31840847,26919,-1,6113,495796,19,5170
reputation,0,106,37542626,31771,0,3826,706456,8,2398
reputation,0,5,32276474,18178,0,708,175216,18,1463
reputation,0,160,36848388,20915,0,329,1936622,16,2283
reputation,0,66,22075789,31307,0,637,47775,18,2689
reputation,0,157,36504302,10959,0,1383,695749,14,1118
reputation,3,157,37280132,10959,0,1383,695749,13,1118
reputation,2,157,36627861,10959,0,1383,695749,14,1118
reputation,2,42,17942635,46915,1,845,20400,19,3414
reputation,1,42,31407943,46915,0,845,20400,19,3414
reputation,2,5,28217208,10471,2,469,1622847,17,677
reputation,0,62,35035347,30536,0,2272,151641,15,2146
reputation,0,449,34024347,21315,0,1037,229792,16,2092
reputation,0,449,24123905,21315,1,1037,229792,17,2092
reputation,0,10,33541157,11726,0,320,122033,17,1457
reputation,0,10,32632906,11726,3,320,122033,16,1457
reputation,5,23,34635371,11623,0,519,180420,19,805
reputation,0,20,35726701,13247,0,1339,6604,14,1511
reputation,0,71,35196573,11377,2,1658,283538,14,1549
reputation,0,71,31544565,11377,0,1658,283538,17,1549
reputation,0,71,30476966,11377,0,1658,283538,18,1549
reputation,1,71,33456802,11377,0,1658,283538,19,1549
reputation,0,71,36644210,11377,0,1658,283538,8,1549
reputation,4,37,28820948,14597,0,883,382307,15,1343
reputation,0,21,34339407,19061,0,4730,326900,10,921
reputation,0,39,32777385,27966,0,1314,593627,18,3400
reputation,0,39,36129196,27966,0,1314,593627,14,3400
reputation,1,39,37367638,27966,0,1314,593627,18,3400
reputation,0,5,37207282,12781,1,423,734463,19,531
reputation,0,168,37504908,20437,0,536,42106,17,2845
reputation,1,168,37551796,20437,1,536,42106,14,2845
reputation,0,8468,37281540,34547,0,4550,545127,8,9516
reputation,0,17,24939395,13681,0,2506,141022,19,1048
reputation,0,17,35887536,13681,0,2506,141022,15,1048
reputation,0,189,31655571,32311,0,2468,429427,13,1155
reputation,2,32,34676447,21080,0,156,4787,8,1529
reputation,0,348,31612292,25678,0,601,1153938,10,1440
reputation,2,15,27302412,55182,0,98,343204,10,2363
reputation,1,15,34073203,55182,0,98,343204,15,2363
reputation,0,15,29752441,55182,0,98,343204,19,2363
reputation,2,15,24212462,55182,0,98,343204,15,2363
reputation,0,15,35926868,55182,0,98,343204,16,2363
reputation,0,15,33634279,55182,0,98,343204,15,2363
reputation,2,15,34053341,55182,0,98,343204,16,2363
reputation,1,15,31865150,55182,0,98,343204,6,2363
reputation,0,15,30804435,55182,0,98,343204,14,2363
reputation,0,15,33309049,55182,0,98,343204,12,2363
reputation,3,15,34055112,55182,0,98,343204,11,2363
reputation,1,15,30007387,55182,0,98,343204,17,2363
reputation,0,15,30177152,55182,1,98,343204,6,2363
reputation,0,15,34052013,55182,0,98,343204,10,2363
reputation,0,15,32148843,55182,0,98,343204,7,2363
reputation,0,15,33638745,55182,0,98,343204,17,2363
reputation,0,216,37347105,23113,0,772,3233,19,1006
reputation,3,116,36970447,23815,0,4548,1079110,16,2002
reputation,0,116,35235854,23815,0,4548,1079110,18,2002
reputation,0,17,34456445,11975,0,917,3006737,12,834
reputation,0,17,36691276,11975,0,917,3006737,19,834
reputation,0,10,37593270,23084,1,297,1319998,17,1495
reputation,0,1,37659593,19866,0,634,31751,15,1095
reputation,0,1057,36598045,11908,0,478,546871,13,2819
reputation,2,16,35793876,14031,1,2543,1327651,18,894
reputation,0,16,37016394,14031,0,2543,1327651,8,894
reputation,0,16,33500815,14031,0,2543,1327651,16,894
reputation,0,16,36223631,14031,0,2543,1327651,16,894
reputation,0,17,30669436,14987,0,561,240215,9,1555
reputation,0,1022,33372277,47168,0,7845,13744,12,3339
reputation,0,9,36084859,11092,0,3698,849697,12,495
reputation,0,9,33098873,11092,0,3698,849697,14,495
reputation,3,9,37653267,11092,0,3698,849697,17,495
reputation,1,9,32247872,11092,0,3698,849697,19,495
reputation,0,0,30191640,13869,0,366,385563,19,1060
reputation,0,0,34020353,13869,1,366,385563,19,1060
reputation,1,0,36315760,13869,0,366,385563,15,1060
reputation,2,0,35416283,13869,0,366,385563,16,1060
reputation,2,0,33129465,13869,0,366,385563,15,1060
reputation,2,29,36211224,12141,0,356,98516,18,1288
reputation,0,29,31714321,12141,0,356,98516,16,1288
reputation,2,29,29974158,12141,0,356,98516,18,1288
reputation,1,42,32539364,21155,0,1006,442351,17,1225
reputation,0,42,34666765,21155,0,1006,442351,17,1225
reputation,0,42,37577837,21155,0,1006,442351,11,1225
reputation,0,42,36508334,21155,0,1006,442351,13,1225
reputation,1,42,35208692,21155,0,1006,442351,16,1225
reputation,3,42,27234656,21155,0,1006,442351,17,1225
reputation,2,42,28005285,21155,0,1006,442351,19,1225
reputation,0,42,33879230,21155,0,1006,442351,15,1225
reputation,2,42,32797001,21155,0,1006,442351,17,1225
reputation,1,42,37622635,21155,0,1006,442351,11,1225
reputation,0,42,33917916,21155,0,1006,442351,5,1225
reputation,5,42,37597375,21155,0,1006,442351,17,1225
reputation,1,42,37262857,21155,0,1006,442351,17,1225
reputation,1,42,33271278,21155,0,1006,442351,7,1225
reputation,0,42,26567762,21155,1,1006,442351,17,1225
reputation,0,36,28203036,11002,1,144,17440,12,686
reputation,0,272,30871945,63153,0,2547,16511,15,4808
reputation,0,5,37191593,12536,0,515,123033,17,1377
reputation,0,5,36984669,12536,0,515,123033,10,1377
reputation,0,6,33734985,15351,1,316,428404,18,641
reputation,0,572,37466249,55945,0,2228,37947,19,3541
reputation,0,46,36445618,48375,1,1526,11898,17,2398
reputation,0,46,26648659,48375,1,1526,11898,16,2398
reputation,0,595,33067682,22540,0,2471,15371,18,1276
reputation,0,595,34655850,22540,0,2471,15371,19,1276
